項番,出願番号,文献番号,"出願日
公知日
登録日",発明の名称,出願人,FI
563,特願2017-078682,特開2017-174437,"2017/04/12
2017/09/28
-",モバイルデバイス関連の親和性の度合い,フェイスブック，インク．,"G06Q50/00,300 
H04M11/00,302 
G06Q10/04"
564,特願2016-162604,特開2017-174375,"2016/08/23
2017/09/28
2018/06/22",リスク早期警報方法、装置、記憶媒体およびコンピュータプログラム,バイドゥ オンライン ネットワーク テクノロジー （ベイジン） カンパニー リミテッド,"G08B31/00@B 
G06F19/00,100"
565,特願2016-060928,特開2017-174236,"2016/03/24
2017/09/28
2018/06/08",工作物の良否を判定する加工機械システム,ファナック株式会社,"G05B19/418@Z 
G06Q50/04"
566,特願2016-058119,特開2017-174053,"2016/03/23
2017/09/28
-",配列データの集合演算装置、配列データの集合演算方法、その実行プログラム、その回路を組み込んだ半導体。,井上 克己,G06F17/16@Z
567,特願2016-057240,特開2017-173999,"2016/03/22
2017/09/28
-",ユーザの将来期間の生活パターンを予測する生活パターン予測装置、携帯端末、プログラム及び方法,ＫＤＤＩ株式会社,"G06F17/30,220@Z 
G06F17/30,210@D 
G06F17/30,310@Z"
568,特願2016-055422,特開2017-168057,"2016/03/18
2017/09/21
-",画像分類装置、画像分類システム及び画像分類方法,株式会社Ｓｐｅｃｔｅｅ,"G06F17/30,210@D 
G06N3/04 
G06T7/00,350@C 
他"
569,特願2016-053038,特開2017-167854,"2016/03/16
2017/09/21
-",学習装置、方法、及びプログラム,株式会社東芝,"G06F17/27,670 
G06N99/00,153 
G06N5/02,150"
570,特願2016-052408,特開2017-167806,"2016/03/16
2017/09/21
-",関係可視化装置、方法およびプログラム,株式会社東芝,"G06F17/30,360@Z 
G06F17/30,419@B"
571,特願2016-049326,特開2017-165502,"2016/03/14
2017/09/21
-",集品作業装置、集品作業方法および集品作業プログラム,日本電気株式会社,"B65G1/137@A 
G06Q10/08,330"
572,特願2016-054190,特開2017-164801,"2016/03/17
2017/09/21
-",機械学習装置、レーザ加工システムおよび機械学習方法,ファナック株式会社,"B23K26/00@M 
B23Q15/00,301@H 
G05B19/4155@V 
他"
573,特願2018-505181,再表2017/158812,"2016/03/18
2017/09/21
-",データ分類方法及びデータ分類装置,株式会社日立製作所,"G06F17/30,210@D 
G06F17/30,220@Z"
574,特願2016-140306,特許6200041,"2016/07/15
2017/09/20
2017/09/01",店舗検索システムおよび方法,株式会社三井住友銀行 他,"G06Q40/02 
G06Q50/10"
575,特願2016-048519,特開2017-163485,"2016/03/11
2017/09/14
-",光受信装置および光受信装置における光シンボルラベル識別法,国立大学法人名古屋大学,"H04B9/00,610 
H04L27/00@G 
H04B9/00,179 
他"
576,特願2016-047324,特開2017-163036,"2016/03/10
2017/09/14
2018/06/29",機械学習装置、レーザ装置および機械学習方法,ファナック株式会社,H01S5/062
577,特願2016-069494,特開2017-162426,"2016/03/12
2017/09/14
2018/08/17",ファンクショナルスタンプを備えたウィザートシステム,セールスワン株式会社,"G06Q10/00 
G06Q10/06"
578,特願2016-048624,特開2017-162387,"2016/03/11
2017/09/14
-",ネットワークシステム、機能設定方法および機能設定プログラム,オムロン株式会社,"G06F9/06,610@C 
G06F9/445"
579,特願2016-046241,特開2017-162209,"2016/03/09
2017/09/14
-",分散処理実行管理プログラム、分散処理実行管理方法および分散処理実行管理装置,富士通株式会社,"G06F9/46,465@C 
G06N99/00,150 
G06F9/46,465@E 
他"
580,特願2016-045646,特開2017-162159,"2016/03/09
2017/09/14
-",検索制御プログラム、検索制御装置及び検索制御方法,富士通株式会社,"G06F17/30,210@D 
G06F17/30,180@A"
581,特願2017-075427,特開2017-159052,"2017/04/05
2017/09/14
2018/03/23",装着可能な装置,ヴァレンセル，インコーポレイテッド,"A61B5/02,310@B 
A61B5/02,310@G 
A61B5/02,710@P 
他"
582,特願2017-021034,特開2017-159027,"2017/02/08
2017/09/14
-",超音波診断装置及び超音波診断支援装置,東芝メディカルシステムズ株式会社,A61B8/14
583,特願2016-045495,特開2017-158781,"2016/03/09
2017/09/14
-",画像表示制御装置および方法並びにプログラム,富士フイルム株式会社,"A61B6/03,360@D 
A61B5/05,380 
A61B6/03,370@E 
他"
584,特願2018-503884,再表2017/154091,"2016/03/08
2017/09/14
-",回転機の診断装置及び診断方法,株式会社日立製作所,H02P29/024
585,特願2016-256941,特開2017-157197,"2016/12/28
2017/09/07
2017/10/20",複数の機械と相互通信を行う機械システム、機械制御用コンピュータ、ベースソフトウェア、コンピュータ読取可能な記録媒体、及び機械制御方法,ファナック株式会社,G05B19/418@Z
586,特願2016-038030,特開2017-156886,"2016/02/29
2017/09/07
-",画像間類似度を考慮して物体を追跡する装置、プログラム及び方法,ＫＤＤＩ株式会社,"G06T7/20@B 
G06T7/00,350@C 
G06T7/20"
587,特願2016-037563,特開2017-156854,"2016/02/29
2017/09/07
-",感情分類によって文脈意味の理解精度を高める発話意味分析プログラム、装置及び方法,ＫＤＤＩ株式会社,"G06F17/27,685 
G10L15/10,500@N 
G10L15/10,500@T"
588,特願2016-039298,特開2017-156517,"2016/03/01
2017/09/07
-",表示装置の欠陥モード分類システム,凸版印刷株式会社,"G02B5/20,101 
G02F1/13,101 
G09F9/00,338"
589,特願2016-041528,特開2017-153821,"2016/03/03
2017/09/07
-",情報端末装置の制御方法、体動測定装置、及び、プログラム,パナソニックＩＰマネジメント株式会社,"A61B5/10,310@A 
A61B5/11"
590,特願2016-036438,特開2017-151933,"2016/02/26
2017/08/31
-",データ分類装置、データ分類方法、及びプログラム,エヌ・ティ・ティ・コミュニケーションズ株式会社,"G06F17/30,210@D 
G06N99/00,153 
G06F17/30,170@A"
591,特願2016-035461,特開2017-151860,"2016/02/26
2017/08/31
-",検索制御プログラム、検索制御装置及び検索制御方法,富士通株式会社,"G06F17/30,180@A 
G06N99/00,153 
G06F17/30,210@D 
他"
592,特願2016-034774,特開2017-151813,"2016/02/25
2017/08/31
2018/05/11",入力画像から検出した対象物を表示する画像処理装置,ファナック株式会社,"G06T1/00,305@A 
G06T7/00,610"
593,特願2016-032942,特開2017-151679,"2016/02/24
2017/08/31
-",識別装置及び識別プログラム,コニカミノルタ株式会社,"G06T7/00,350@B 
G06N99/00,150 
G06T7/00,250"
594,特願2016-032262,特開2017-151629,"2016/02/23
2017/08/31
-",検索制御プログラム、検索制御装置及び検索制御方法,富士通株式会社,"G06F17/30,330@B 
G06F17/30,180@A"
595,特願2016-031375,特開2017-151557,"2016/02/22
2017/08/31
-",情報処理装置、情報処理方法及びプログラム,キヤノン株式会社,"G06N99/00,153 
G06F17/30,210@D"
596,特願2016-036467,特開2017-148447,"2016/02/26
2017/08/31
-",瞬き検出システム、瞬き検出方法,学校法人慶應義塾,"A61B5/10,310@Z 
G01S13/58 
A61B5/11"
597,特願2016-051019,特許6188172,"2016/03/15
2017/08/30
2017/08/10",特許要件適否予測装置および特許要件適否予測プログラム,白井 和之,"G06F17/30,220@Z 
G06Q50/18,310 
G06F17/30,170@Z 
他"
598,特願2016-237905,特開2017-146961,"2016/12/07
2017/08/24
2018/03/09",非定型テキストの抽出性能の向上のためのシステム及び方法,コリア インスティテュート オブ サイエンス アンド テクノロジー インフォメイション,"G06F17/30,210@A 
G06F17/30,220@Z 
G06F17/27,665"
599,特願2016-030215,特開2017-146924,"2016/02/19
2017/08/24
-",コンテンツ収集装置、コンテンツ収集方法およびコンテンツ収集プログラム,ヤフー株式会社,"G06F13/00,540@A 
G06F17/30,180@Z"
600,特願2016-029992,特開2017-146909,"2016/02/19
2017/08/24
-",試着シミュレーションシステムおよびプログラム,株式会社アスコン,"G06Q50/10 
G06F17/50,680@J 
G06T13/40 
他"
601,特願2016-027110,特開2017-144454,"2016/02/16
2017/08/24
-",車体部品の施工部位判定システム及び施工部位判定方法,トヨタ車体株式会社,"B23K11/24,338"
602,特願2016-040473,特開2017-144200,"2016/02/15
2017/08/24
-",遅延選択を用いた生体信号分析装置、プログラム及びシステム,松本 眞理子,"A61B5/04,312@A 
G09B21/00@E 
A61B5/05,390 
他"
603,特願2017-567951,再表2017/141502,"2016/11/07
2017/08/24
2018/11/09",情報処理装置、情報処理方法およびプログラム,ソニー株式会社,"G06F3/16,630 
G06F17/27,680 
G10L15/10,500@T 
他"
604,特願2017-108121,特許6185206,"2017/05/31
2017/08/23
2017/08/04",太陽光発電システムの異常または異常の予兆を検出するための方法及び装置,オーナンバ株式会社,"H02M7/48@M 
H02S50/00 
H02J13/00,301@D"
605,特願2017-503029,再表2018/042604,"2016/09/01
2017/08/23
2017/08/04",知的財産支援システムおよび知的財産支援方法並びに知的財産支援プログラム,株式会社ゴールドアイピー,"G06Q50/18,310"
606,特願2017-039267,特開2017-143730,"2017/03/02
2017/08/17
-",ゲインの最適化を学習する機械学習装置及び機械学習装置を備えた電動機制御装置並びに機械学習方法,ファナック株式会社,"H02P29/00 
G05B13/02@L 
H02P25/098"
607,特願2017-043687,特開2017-142811,"2017/03/08
2017/08/17
2018/05/11",モバイルデバイスユーザの将来の状態を予測することに関する方法,フェイスブック，インク．,"G06Q50/00,300 
G06F13/00,510@G 
G06Q50/00 
他"
608,特願2017-019756,特開2017-142796,"2017/02/06
2017/08/17
-",情報の特定及び抽出,富士通株式会社,"G06F17/30,350@C 
G06F17/30,170@A 
G06Q50/00,300"
609,特願2016-252911,特開2017-142781,"2016/12/27
2017/08/17
-",確率的価格及び急変予測,富士通株式会社,"G06Q40/06 
G06N99/00,150 
G06N5/04 
他"
610,特願2016-117073,特許6182242,"2016/06/13
2017/08/16
2017/07/28",データのラベリングモデルに係る機械学習方法、コンピュータおよびプログラム,三菱電機インフォメーションシステムズ株式会社,"G06N99/00,153 
G06N3/08"
611,特願2016-020684,特開2017-138881,"2016/02/05
2017/08/10
-",操作メニューの表示を学習する機械学習器，数値制御装置，工作機械システム，製造システムおよび機械学習方法,ファナック株式会社,G05B19/409@C
612,特願2017-017624,特開2017-138596,"2017/02/02
2017/08/10
2018/09/14",話者適応システムにおける雑音補償,株式会社東芝,"G10L13/10,112@B 
G10L13/06,130 
G10L13/06,230@Z 
他"
613,特願2016-012035,特開2017-135484,"2016/01/26
2017/08/03
-",無線通信試験装置及び無線通信試験方法,東日本旅客鉄道株式会社,"H04M1/24@F 
H04B17/309 
H04W24/06 
他"
614,特願2016-162549,特開2017-134813,"2016/08/23
2017/08/03
2017/09/29",デジタル画像の意味タグの取得方法、および装置,バイドゥ オンライン ネットワーク テクノロジー （ベイジン） カンパニー リミテッド,"G06F17/30,210@A 
G06T7/00,300@F 
G06F17/30,320@Z"
615,特願2016-012886,特開2017-134184,"2016/01/26
2017/08/03
-",学習者と教材の継続評価機能をする学習支援システム,株式会社ウォーカー,"G09B7/04 
G06Q50/20"
616,特願2017-053182,特開2017-132260,"2017/03/17
2017/08/03
-",射出成形における最適な操作条件を算出できるシステム,ファナック株式会社,"B29C45/76 
B29C45/42"
617,特願2016-014430,特開2017-131937,"2016/01/28
2017/08/03
2018/05/18",レーザ加工開始条件を学習する機械学習装置、レーザ装置および機械学習方法,ファナック株式会社,"B23K26/00@N 
G06N99/00,153 
H01S3/00@B 
他"
618,特願2017-563782,再表2017/130699,"2017/01/11
2017/08/03
-",ひび割れ情報検出装置、ひび割れ情報検出方法およびひび割れ情報検出プログラム,富士フイルム株式会社,G01N21/88@J
619,特願2016-011148,特開2017-130170,"2016/01/22
2017/07/27
-",会話連動システム、会話連動装置、会話連動方法、および、会話連動プログラム,日本ユニシス株式会社,"G06F13/00,540@P 
G06F17/30,310@Z 
G10L15/00,200@A 
他"
620,特願2016-006808,特開2017-129896,"2016/01/18
2017/07/27
-",機械学習装置、機械学習方法及び機械学習プログラム,富士通株式会社,"G06N3/08,140"
621,特願2016-009279,特開2017-127499,"2016/01/20
2017/07/27
-",脳活動訓練システム及び脳活動訓練方法,株式会社国際電気通信基礎技術研究所 他,"A61B5/04,320@Z 
G09B9/00@Z 
A61B5/05@A 
他"
622,特願2017-562160,再表2017/125980,"2016/12/05
2017/07/27
-",情報処理装置、情報処理方法、およびプログラム,ソニー株式会社,"G06T1/40 
G06N3/02"
623,特願2016-004321,特開2017-127099,"2016/01/13
2017/07/20
-",抵抗回生開始電圧および抵抗回生停止電圧の値を学習する機械学習器，モータ制御装置，モータ制御システムおよび機械学習方法,ファナック株式会社,"H02P3/18,101@D 
G06N99/00,153"
624,特願2016-255137,特開2017-126329,"2016/12/28
2017/07/20
-",トレーニングセットの評価,ダッソー システムズ,"G06N99/00,150 
G06F17/30,220@Z"
625,特願2016-006161,特開2017-126260,"2016/01/15
2017/07/20
-",機械学習方法および機械学習装置,クラリオン株式会社,"G06N3/08,160 
G06N3/08,140 
G06N3/08,120 
他"
626,特願2016-003417,特開2017-126112,"2016/01/12
2017/07/20
-",サーバ、分散型サーバシステム、及び情報処理方法,株式会社リコー,"G06F17/30,220@Z 
G06F17/30,170@Z"
627,特願2016-006248,特開2017-125809,"2016/01/15
2017/07/20
-",情報処理装置、情報処理システムおよびプログラム,株式会社リコー,G01N21/47@B
628,特願2016-244741,特許6165957,"2016/12/16
2017/07/19
2017/06/30",会計処理装置、会計処理システム、会計処理方法、及び会計処理プログラム,ファーストアカウンティング株式会社,"G06Q40/00,400"
629,特願2016-002201,特開2017-123587,"2016/01/08
2017/07/13
-",制御装置、制御方法、およびプログラム,ソニー株式会社,"H04Q9/00,301@D 
F24F11/02,103@C 
H04M11/00,301 
他"
630,特願2014-079551,特開2017-122580,"2014/04/08
2017/07/13
-",検査装置及び検査条件決定方法,株式会社日立ハイテクノロジーズ,"G01B11/06@Z 
G01B11/30@A 
G01N21/956@A 
他"
631,特願2017-020403,特開2017-120649,"2017/02/07
2017/07/06
-",故障条件を学習する機械学習方法及び機械学習装置、並びに該機械学習装置を備えた故障予知装置及び故障予知システム,ファナック株式会社 他,"G05B23/02,302@Z 
G05B19/18@X 
B25J19/06 
他"
632,特願2016-255148,特開2017-120647,"2016/12/28
2017/07/06
-",機械学習システムの更新,ダッソー システムズ,"G06N99/00,150"
633,特願2016-255145,特開2017-120646,"2016/12/28
2017/07/06
-",予め計算されたモデルの結果の検索,ダッソー システムズ,"G06F17/30,350@C 
G06F17/30,340@A"
